title,release_date,vote_average,runtime,director,imdb_rating,plot,actors
We Were Soldiers,2002,,138 min,Randall Wallace,7.2,"The story of the first major battle of the American phase of the Vietnam War, and the soldiers on both sides that fought it, while their wives wait nervously and anxiously at home for the good news or the bad news.","Mel Gibson, Madeleine Stowe, Greg Kinnear"
Black Hawk Down,2001,,144 min,Ridley Scott,7.7,"The story of one hundred and sixty elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed...","Josh Hartnett, Ewan McGregor, Tom Sizemore"
Troy,2004,,163 min,Wolfgang Petersen,7.3,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces.","Brad Pitt, Eric Bana, Orlando Bloom"
Alexander,2004,,175 min,Oliver Stone,5.6,"Alexander, the King of Macedonia and one of the greatest army leaders in the history of warfare, conquers much of the known world.","Colin Farrell, Anthony Hopkins, Rosario Dawson"
Braveheart,1995,,178 min,Mel Gibson,8.3,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"Mel Gibson, Sophie Marceau, Patrick McGoohan"
Highlander,1986,,116 min,Russell Mulcahy,7.0,"An immortal Scottish swordsman must confront the last of his immortal opponents, a murderously brutal barbarian who lusts for the fabled ""Prize"".","Christopher Lambert, Sean Connery, Clancy Brown"
The 13th Warrior,1999,,102 min,John McTiernan,6.6,"A man, having fallen in love with the wrong woman, is sent by the sultan himself on a diplomatic mission to a distant land as an ambassador. Stopping at a Viking village port to restock on supplies, he finds himself unwittingly em...","Antonio Banderas, Diane Venora, Dennis Storhøi"
Conan the Barbarian,1982,,129 min,John Milius,6.9,A powerful warrior seeks to avenge the genocide of his people and the murder of his parents at the hands of a snake cult.,"Arnold Schwarzenegger, James Earl Jones, Max von Sydow"
Red Sonja,1985,,89 min,Richard Fleischer,5.1,The fearless warrior Red Sonja sets out to avenge her family's murder and rid her kingdom from the tyrannical rule of evil Queen Gedren.,"Arnold Schwarzenegger, Brigitte Nielsen, Sandahl Bergman"
Willow,1988,,126 min,Ron Howard,7.2,"A young dwarf farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen. Along the way, he teams up with a disgraced swordsman to defeat the evil sorceress.","Val Kilmer, Joanne Whalley, Warwick Davis"
The NeverEnding Story,1984,,102 min,Wolfgang Petersen,7.3,A troubled boy dives into a wondrous fantasy world through the pages of a mysterious book.,"Noah Hathaway, Barret Oliver, Tami Stronach"
Legend,1985,,132 min,Brian Helgeland,6.9,Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.,"Tom Hardy, Emily Browning, Taron Egerton"
Excalibur,1981,,140 min,John Boorman,7.3,"Merlin the magician helps Arthur Pendragon unite the Britons around the Round Table of Camelot, even as dark forces conspire to tear it apart.","Nigel Terry, Helen Mirren, Nicholas Clay"
Merlin,1998,,89 min,David Winning,6.2,The young wizard Merlin must rescue the helpless people from the evil King Vidus and his ruthless high counselor.,"Jason Connery, Deborah Moore, Gareth Thomas"
A Knight's Tale,2001,,132 min,Brian Helgeland,7.0,"After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight.","Heath Ledger, Mark Addy, Rufus Sewell"
The Dark Ages,2011,,120 min,Christopher Cassel,7.1,The History Channel examines the Dark Ages from the fall of the Roman Empire to the First Crusade.,"Philip Daileader, Kelly DeVries, Bonnie Effros"
Eragon,2006,,104 min,Stefen Fangmeier,5.1,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realizes he's the one person who can defend his home against an evil king.","Ed Speleers, Sienna Guillory, Jeremy Irons"
The Last Unicorn,1982,,92 min,"Jules Bass, Arthur Rankin Jr.",7.3,A beautiful unicorn sets out to learn if she truly is the last of her kind in this sparkling animated musical.,"Jeff Bridges, Mia Farrow, Angela Lansbury"
The Dark Crystal,1982,,93 min,"Jim Henson, Frank Oz",7.1,"On another planet in the distant past, the last of the Gelfling race embarks on a quest to find the missing shard of a magical crystal and to restore order to his world.","Jim Henson, Kathryn Mullen, Frank Oz"
Labyrinth,1986,,101 min,Jim Henson,7.3,Teenage Sarah journeys through a maze to save her baby brother from the Goblin King.,"David Bowie, Jennifer Connelly, Toby Froud"
The Secret of NIMH,1982,,82 min,Don Bluth,7.5,"To save her ill son, a field mouse must seek the aid of a colony of rats, with whom she has a deeper link than she suspected.","Elizabeth Hartman, Derek Jacobi, Dom DeLuise"
An American Tail,1986,,80 min,Don Bluth,6.9,"While emigrating to the United States, a young Russian mouse gets separated from his family and must locate them while trying to survive in a new country.","Dom DeLuise, Christopher Plummer, Erica Yohn"
Anastasia,1997,,94 min,"Don Bluth, Gary Goldman",7.2,"The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death.","Meg Ryan, John Cusack, Christopher Lloyd"
Titan A.E.,2000,,94 min,"Don Bluth, Gary Goldman",6.6,A young man learns that he has to find a hidden Earth ship before an enemy alien species does in order to secure the survival of humanity.,"Matt Damon, Drew Barrymore, Bill Pullman"
Superman,1978,,129 min,James Gunn,7.1,"Superman must reconcile his alien Kryptonian heritage with his human upbringing as reporter Clark Kent. As the embodiment of truth, justice and the human way he soon finds himself in a world that views these as old-fashioned.","David Corenswet, Rachel Brosnahan, Nicholas Hoult"
Superman II,1980,,127 min,"Richard Lester, Richard Donner",6.8,"Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth.","Gene Hackman, Christopher Reeve, Margot Kidder"
